   UID   PID  PPID   C STIME   TTY           TIME CMD
   24   234     1   0 чт05  ??         0:10.10 /usr/libexec/symptomsd
    0   235     1   0 чт05  ??         0:00.19 /usr/libexec/findmydeviced
    0   255     1   0 чт05  ??         0:00.28 /usr/libexec/logd_helper
    0   260     1   0 чт05  ??         0:00.29 /usr/libexec/diskmanagementd
    0   261     1   0 чт05  ??         0:01.53 /usr/libexec/nesessionmanager
  205   262     1   0 чт05  ??         0:00.16 /usr/sbin/distnoted agent
  205   263     1   0 чт05  ??         0:02.53 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  205   264     1   0 чт05  ??         0:00.11 /usr/libexec/secinitd
  205   265     1   0 чт05  ??         0:00.03 /usr/sbin/cfprefsd agent
    0   266     1   0 чт05  ??         0:00.15 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  205   267     1   0 чт05  ??         0:00.41 /usr/libexec/trustd --agent
  205   269     1   0 чт05  ??         0:00.13 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  202   271     1   0 чт05  ??         0:01.26 Core Audio Driver (Omi Mirror Audio Driver.driver)
fg    0   273     1   0 чт05  ??         0:00.83 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
    0   274     1   0 чт05  ??         0:00.10 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  202   275     1   0 чт05  ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
    0   276     1   0 чт05  ??         0:00.03 /usr/libexec/smd
  202   277     1   0 чт05  ??         0:00.02 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
    0   278     1   0 чт05  ??         1:02.22 /usr/libexec/mobileassetd
    0   280     1   0 чт05  ??         0:00.01 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
    0   289     1   0 чт05  ??         0:00.09 /usr/libexec/thermald
    0   290     1   0 чт05  ??         0:00.74 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
    0   292     1   0 чт05  ??         0:00.19 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
   89   298     1   0 чт05  ??         0:00.17 /usr/sbin/distnoted agent
    0   299     1   0 чт05  ??         0:04.50 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
    0   301     1   0 чт05  ??         0:20.40 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
    0   302     1   0 чт05  ??         0:00.47 /usr/libexec/secinitd
  200   303     1   0 чт05  ??         0:29.85 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  200   304     1   0 чт05  ??         0:00.11 /usr/sbin/distnoted agent
    0   305     1   0 чт05  ??         0:00.14 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
   97   307     1   0 чт05  ??         0:00.48 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
    0   309     1   0 чт05  ??         0:00.65 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  242   310     1   0 чт05  ??         0:00.11 /usr/sbin/distnoted agent
  205   311     1   0 чт05  ??         0:09.10 /usr/libexec/locationd
  261   312     1   0 чт05  ??         0:00.25 /usr/libexec/hidd
   88   314     1   0 чт05  ??         0:00.12 /usr/sbin/distnoted agent
    0   316     1   0 чт05  ??         0:00.09 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
    0   317     1   0 чт05  ??         0:00.22 /usr/libexec/wifianalyticsd
    0   319     1   0 чт05  ??         0:00.11 /usr/libexec/colorsync.displayservices
    0   320     1   0 чт05  ??         0:00.12 /usr/libexec/colorsyncd
   55   321     1   0 чт05  ??         0:00.73 /System/Library/CoreServices/appleeventsd --server
    0   324     1   0 чт05  ??         0:00.05 /usr/libexec/bootinstalld
    0   328     1   0 чт05  ??         0:00.05 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
    0   331     1   0 чт05  ??         0:00.09 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
    0   332     1   0 чт05  ??         0:02.65 /usr/libexec/sysmond
    0   335     1   0 чт05  ??         0:00.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   336     1   0 чт05  ??         0:00.16 /usr/libexec/securityd_service
  501   337     1   0 чт05  ??         0:06.69 /usr/sbin/distnoted agent
  501   338     1   0 чт05  ??         0:13.33 /usr/sbin/cfprefsd agent
  501   347     1   0 чт05  ??         0:06.61 /usr/libexec/lsd
    0   355     1   0 чт05  ??         0:00.23 /usr/sbin/systemsoundserverd
  501   358     1   0 чт05  ??         0:08.94 /usr/libexec/pkd
  501   360     1   0 чт05  ??         0:00.95 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  501   361     1   0 чт05  ??         0:10.23 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  501   363     1   0 чт05  ??         0:24.00 /usr/libexec/trustd --agent
  258   364     1   0 чт05  ??         0:00.14 /usr/libexec/captiveagent
  501   370     1   0 чт05  ??         0:01.18 /usr/libexec/secinitd
    0   380     1   0 чт05  ??         0:02.03 /usr/sbin/filecoordinationd
  222   382     1   0 чт05  ??         0:00.40 /usr/sbin/netbiosd
   55   388     1   0 чт05  ??         0:00.15 /usr/sbin/distnoted agent
  501   394     1   0 чт05  ??         0:00.26 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   398     1   0 чт05  ??         0:06.34 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
    0   412     1   0 чт05  ??         0:02.29 /usr/libexec/wifivelocityd
  501   421     1   0 чт05  ??         0:10.50 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  265   427     1   0 чт05  ??         0:01.04 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  259   432     1   0 чт05  ??         0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
    0   462     1   0 чт05  ??         0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  501   464     1   0 чт05  ??         0:00.32 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   476     1   0 чт05  ??         0:02.02 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  501   477     1   0 чт05  ??         0:02.62 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501   489     1   0 чт05  ??         0:00.07 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
    0   491     1   0 чт05  ??         0:00.39 /usr/sbin/WirelessRadioManagerd
    0   492     1   0 чт05  ??         0:03.55 /usr/sbin/spindump
    0   495     1   0 чт05  ??         0:03.48 /System/Library/CoreServices/SubmitDiagInfo server-init
    0   498    84   0 чт05  ??         0:00.24 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
    0   512     1   0 чт05  ??         0:00.14 /private/var/db/com.apple.xpc.roleaccountd.staging/com.apple.MobileSoftwareUpdate.UpdateBrainService.16777220.8667263821.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.UpdateBrainService
    0   513     1   0 чт05  ??         0:00.29 /usr/libexec/xpcroleaccountd -launchd
  247   518     1   0 чт05  ??         0:11.95 /usr/libexec/gamecontrollerd
    0   519     1   0 чт05  ??         0:00.04 /System/Library/CoreServices/CrashReporterSupportHelper server-init
    0   520     1   0 чт05  ??         0:00.06 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  501   524     1   0 чт05  ??         0:03.54 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
   89   525     1   0 чт05  ??         0:03.38 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
   89   539     1   0 чт05  ??         0:00.10 /usr/libexec/pkd
   89   541     1   0 чт05  ??         0:00.64 /usr/libexec/trustd --agent
  262   554     1   0 чт05  ??         0:00.25 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  235   564     1   0 чт05  ??         0:00.69 /usr/libexec/AssetCache/AssetCache
    0   571     1   0 чт05  ??         0:00.12 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
  235   578     1   0 чт05  ??         0:00.13 /usr/sbin/distnoted agent
    0   586     1   0 чт05  ??         0:00.04 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
    0   592     1   0 чт05  ??         0:01.74 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
    0   595     1   0 чт05  ??         0:00.70 /usr/libexec/aned
    0   597     1   0 чт05  ??         0:03.79 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
    0   598     1   0 чт05  ??         0:04.22 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
    0   599     1   0 чт05  ??         0:04.46 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
    0   601     1   0 чт05  ??         0:00.63 /usr/libexec/symptomsd-diag
    0   616     1   0 чт05  ??         0:00.01 /usr/libexec/misagent
  269   617     1   0 чт05  ??         0:00.12 /usr/sbin/distnoted agent
    0   623     1   0 чт05  ??         0:00.09 /usr/libexec/morphunassetsupdaterd
    0   624     1   0 чт05  ??         0:01.45 /usr/libexec/rtcreportingd
  265   629     1   0 чт05  ??         0:00.19 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  274   646     1   0 чт05  ??         0:00.14 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
    0   647     1   0 чт05  ??         0:00.09 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedTaskService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedTaskService
    0   648     1   0 чт05  ??         0:00.27 /Library/PrivilegedHelperTools/com.adobe.acc.installer.v2
    0   667     1   0 чт05  ??         0:00.02 /usr/libexec/online-authd
    0   709     1   0 чт05  ??         0:00.58 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CAReportingService.xpc/Contents/MacOS/CAReportingService
  501   727     1   0 чт05  ??         0:00.45 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  265   784     1   0 чт05  ??         0:00.43 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
    0   922     1   0 чт05  ??         0:57.19 /System/Library/CoreServices/ReportCrash daemon
    0   960     1   0 чт05  ??         0:00.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
    0  1007     1   0 чт06  ??         0:00.06 /System/Library/CoreServices/osanalyticshelper server-init
    0  1098     1   0 пт09  ??         0:00.61 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
    0  1125     1   0 пт09  ??         0:00.12 /usr/libexec/mobileactivationd
    0  1135     1   0 пт09  ??         0:00.04 /usr/libexec/tzd
    0  1258     1   0 пт09  ??         0:00.49 /usr/libexec/dprivacyd
    0  1269     1   0 пт09  ??         0:00.09 /usr/libexec/ASPCarryLog
    0  1290     1   0 пт09  ??         0:00.01 /usr/libexec/periodic-wrapper daily
    0  1378     1   0 пт09  ??         0:00.07 /usr/libexec/microstackshot
    0  1382     1   0 пт09  ??         0:00.08 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
    0  1384     1   0 пт09  ??         0:00.06 /usr/bin/sysdiagnose
  501  1399     1   0 пт09  ??         0:00.15 /System/Library/PrivateFrameworks/PodcastServices.framework/XPCServices/PodcastContentService.xpc/Contents/MacOS/PodcastContentService
  501  1400     1   0 пт09  ??         0:00.11 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
    0  1410     1   0 пт09  ??         0:17.03 /System/Library/PrivateFrameworks/StorageKit.framework/Resources/storagekitd
    0  1412     1   0 пт09  ??         0:00.35 /System/Library/CoreServices/iconservicesagent runAsRoot
    0  1413     1   0 пт09  ??         0:51.38 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
  257  1416     1   0 пт09  ??         0:00.06 /usr/libexec/DataDetectorsSourceAccess
  260  1426     1   0 пт09  ??         0:00.17 /usr/libexec/nfcd
    0  1561     1   0 пт10  ??         0:00.07 /System/Library/PrivateFrameworks/DifferentialPrivacy.framework/XPCServices/DPSubmissionService.xpc/Contents/MacOS/DPSubmissionService
